model,details,target,x_cols,y_norm,x_norm,epochs,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=40 ,topleft,restrict,False,True,40,train,0.0012399537954479456,0.0264237392693758,0.9180594006724789,0.04090997576713562,0.8215297162532806,0.0024799068924039602,0.9657652042806149
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=40 ,center,restrict,False,True,40,valid,0.003605884499847889,0.04271499812602997,0.32336388413208544,0.06993967294692993,0.3217305541038513,0.007211768999695778,0.4530572295188904
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=40 ,center,restrict,False,True,40,train,0.0025830694939941168,0.03642310947179794,0.5029668988176225,0.059748657047748566,0.4226420521736145,0.005166139453649521,0.601004958152771
fastTab1.2,x=pts y_norm=False x_norm=True epochs=40 ,topleft,pts,False,True,40,valid,0.0034312084317207336,0.043448306620121,0.8609258380095259,0.07054036110639572,0.6974267363548279,0.006862417794764042,0.9043727666139603
fastTab1.2,x=pts y_norm=False x_norm=True epochs=40 ,topleft,pts,False,True,40,train,0.0026565296575427055,0.03704293817281723,0.9258365930449055,0.0606524720788002,0.7376314997673035,0.005313060246407986,0.9281246587634087
fastTab1.2,x=pts y_norm=False x_norm=True epochs=40 ,center,pts,False,True,40,valid,0.00084349000826478,0.022936906665563583,0.8663215157858313,0.03561176359653473,0.6778615117073059,0.0016869795508682728,0.8858906254172325
fastTab1.2,x=pts y_norm=False x_norm=True epochs=40 ,center,pts,False,True,40,train,0.0004454423615243286,0.01645783707499504,0.923504435668698,0.025723803788423538,0.746622622013092,0.0008908846066333354,0.9288416877388954
fastTab1.2,x=all y_norm=False x_norm=True epochs=40 ,topleft,all,False,True,40,valid,7.619093444405882e+20,2505000704.0,-7.95473722809337e+22,4029496832.0,-17744564223.0,1.523818548143688e+21,-2.1696239823645068e+22
fastTab1.2,x=all y_norm=False x_norm=True epochs=40 ,topleft,all,False,True,40,train,0.006233373656868935,0.036744602024555206,0.645467116449802,0.058208439499139786,0.7494408786296844,0.012466746382415295,0.8322832584381104
fastTab1.2,x=all y_norm=False x_norm=True epochs=40 ,center,all,False,True,40,valid,1.342611801497739e+20,1321978880.0,-2.790322601096216e+22,2202921984.0,-22287628287.0,2.685223602995478e+20,-2.287291556448648e+22
fastTab1.2,x=all y_norm=False x_norm=True epochs=40 ,center,all,False,True,40,train,0.0025011871475726366,0.021174104884266853,0.5491673024066804,0.03353004902601242,0.6805607974529266,0.0050023747608065605,0.6243937611579895
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=40 ,topleft,restrict,False,False,40,valid,0.002218492329120636,0.03745576739311218,0.8209636940121313,0.058475662022829056,0.7656810432672501,0.004436984658241272,0.9476101361215115
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=40 ,topleft,restrict,False,False,40,train,0.002087837550789118,0.03591050207614899,0.8294215247040438,0.05651066452264786,0.7509414106607437,0.004175675101578236,0.9410818591713905
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=40 ,center,restrict,False,False,40,valid,0.0037269562017172575,0.04318073019385338,0.23426814220064224,0.06868250668048859,0.29544591903686523,0.0074539100751280785,0.3725866675376892
fastTab1.2,x=restrict y_norm=False x_norm=False epochs=40 ,center,restrict,False,False,40,train,0.003365227021276951,0.041834257543087006,0.38098192946039494,0.06790629029273987,0.354877769947052,0.0067304521799087524,0.4939364194869995
fastTab1.2,x=pts y_norm=False x_norm=False epochs=40 ,topleft,pts,False,False,40,valid,0.0024658064357936382,0.038433752954006195,0.8775377557807714,0.059753160923719406,0.7500179409980774,0.0049316128715872765,0.9348615035414696
fastTab1.2,x=pts y_norm=False x_norm=False epochs=40 ,topleft,pts,False,False,40,train,0.0018903532763943076,0.03500628471374512,0.8906111837379833,0.05371462553739548,0.7660392671823502,0.0037807065527886152,0.9482858963310719
fastTab1.2,x=pts y_norm=False x_norm=False epochs=40 ,center,pts,False,False,40,valid,0.0008581487345509231,0.022899411618709564,0.8582036144870341,0.03594024106860161,0.6653201282024384,0.0017162974691018462,0.8736567497253418
fastTab1.2,x=pts y_norm=False x_norm=False epochs=40 ,center,pts,False,False,40,train,0.0002831628080457449,0.01319996640086174,0.948648305782148,0.020684324204921722,0.7988671660423279,0.0005663257907144725,0.9560917094349861
fastTab1.2,x=all y_norm=False x_norm=False epochs=40 ,topleft,all,False,False,40,valid,6716094.5,349.2708740234375,-482365939.3510806,516.500732421875,-2135.986083984375,13432189.0,-164282959.0
fastTab1.2,x=all y_norm=False x_norm=False epochs=40 ,topleft,all,False,False,40,train,0.0036501402501016855,0.031527675688266754,0.8078176986865846,0.05007839947938919,0.7807796895503998,0.007300279568880796,0.8976047113537788
fastTab1.2,x=all y_norm=False x_norm=False epochs=40 ,center,all,False,False,40,valid,79262752.0,779.2817993164062,-17699800691.03737,1385.8804931640625,-13184.580078125,158525472.0,-11846924287.0
fastTab1.2,x=all y_norm=False x_norm=False epochs=40 ,center,all,False,False,40,train,0.0037464064080268145,0.024997595697641373,0.320294989259975,0.039765797555446625,0.6156315207481384,0.0074928151443600655,0.42052239179611206
